title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis,language
6919,Academy of Marginalized Superpowers,COMEDY,jeffuwnag,"TUESDAY,SATURDAY",15,51849,9.17,907807,112063,ONGOING,False,"In a world of people gifted with supernatural abilities, a boy with a power deemed ‘marginal’ by society navigates life surrounded by his marginally extraordinary peers.",en
6917,stare down.,ROMANCE,soycisoy,MONDAY,12,40549,9.38,974664,125253,COMPLETED,True,"The story of Nil, who misconstrues an enamoured stare. And the story of Pas, who plays along in hope of something more.",en
6916,Say the Right Thing,ROMANCE,SammyMontoya,FRIDAY,5,37689,9.71,566520,96863,COMPLETED,True,"On your arm are the first words your soulmate will ever say to you. Sometimes they're nice. Sometimes they're vague. Sometimes they're ""Watch it, Jackass."" And sometimes your soulmate is a wanted felon and also magic, which Seth discovers when he meets his soulmate, Errol, an alleged dark mage on the run. Oh well. ",en
6915,Angel of Death,ROMANCE,"Riley Redgate,Mhaikkun",WEDNESDAY,9,143163,9.11,988378,97882,ONGOING,False,"When Azriel — the fearsome and unfeeling Angel of Death — allows a human soul to slip through his fingers, God casts him down to Earth to find it. Azriel plans to use Jo LeCourt, the sister of the woman whose soul he failed to reap, to guide him. But he’s not counting on the sharp-witted and relentless Jo, who knows why he's there and will stop at nothing to stop him.

As the two circle each other, Azriel discovers, for the first time in eternity, someone who really challenges and interests him. And Jo discovers, for the first time in her life, someone as reliable and exacting as she is. Neither of them are expecting to find a love
that will change them forever.",en
6914,Seabird and the Wolf,FANTASY,"Kisai Entertainment,©Gleecat,ricepupa,Miss Xero,Mang Morning",TUESDAY,9,117646,9.63,891768,100081,ONGOING,False,"Chosen by the last remaining Seabird, Lott has been cursed with a target on her back. After the notorious Woohoppiage pirates pillage her village and kidnap her sister, she embarks on a perilous journey to get her back. And she’ll do whatever it takes to make that happen, even if that means joining the Black Ocean crew and pretending to be a man. But she's not the only one with a secret on this pirate ship…",en
6913,My Beloved Emperor,ROMANCE,Chi Coi,MONDAY,8,13891,9.48,184213,22802,COMPLETED,True,"In a distant empire, the young Emperor is consumed by his duties, yet the people whisper that he’s overdue for marriage. When Tran, a spirited working-class woman, unexpectedly saves the Emperor—disguised and in danger—their unlikely friendship ignites into a daring romance. As they face formidable enemies determined to thwart the Emperor’s reign, together they craft a legacy that redefines the future of the empire.",en
6912,Amelia the Level Zero Hero,FANTASY,"MelasDelta,Kisai Entertainment,Azrie",WEDNESDAY,11,96388,8.9,972684,102092,ONGOING,False,"Who needs a Class when you're already the strongest anyways? Ten years ago, Amelia woke up in a broken world where she had to fight for her survival. Now, after defeating the Void itself and escaping the abyss, she's finally found her way back into the real world. But instead of returning to Earth, she arrives in Vacuos — a fantasy world governed by a System as if it were a video game. And when rewarded with a Class befitting her accomplishments— to become a powerful [Hero] that will forever dedicate her life to protecting this world that is not her own— she only has one response. “Absolutely not. I’m going to live a normal life now, thank you very much.”",en
6889,Enoch: The Shining Tree,ACTION,Chiroyugo,THURSDAY,10,36719,9.5,260918,29833,ONGOING,False,"""You shall live and suffer for eternity, trapped within your armor, prisoners of time.""
Enoch's life is turned upside down when his entire family is slaughtered overnight by the cursed knights.
The knights wander, sentenced by the witch's curse to a fate of endless empty slaughters.
Enoch trampled under their trail of blood, burns for a vengeance that outlasts, outdoes eternity.
Who will be whose fate? Who is the one that orchestrates their conflicting fates?",en
6888,Light of Arad: Forerunner,ACTION,"jegalbokja,funkycreature,Respect",THURSDAY,8,27490,8.99,145938,13713,ONGOING,False,"Jinseong streams the online action game Dungeon and Fighter for a living, and while assisting a ranger, he ends up doing exactly what the player warned him not to—helping him fight the boss. Little did Jinseong know that the ranger was a person sucked into the game world, and was now dead for failing his mission. Transported into the world of DNF to take responsibility, Jinseong must work his way through the quest line as a Dark Knight to stop the contamination from leading players astray and destroying the world of Arad. Will he make it through alive?",en
6887,My Girlfriend,THRILLER,Park_ci,MONDAY,10,77483,9.56,949954,78493,ONGOING,False,"One day, Jio is horrified to witness his girlfriend, Miho, devouring human flesh. How could this be happening? He's struggling to understand the events that transpired when Miho killed his close buddy. Jio flees in panic, only to run into his friend—whom he was sure was dead—still alive. Jio grapples with doubt, struggling to maintain his grip on sanity. Is Miho really the monster, or is everything just a horrible nightmare?",en
